company_slug,board_slug,board_url,monitor_type,monitor_config,scraper_type,scraper_config
cloudflare,cloudflare-careers,https://boards.greenhouse.io/cloudflare,greenhouse,"{""token"": ""cloudflare""}",,
deepjudge,deepjudge-careers,https://jobs.ashbyhq.com/deepjudge,ashby,"{""token"": ""deepjudge"", ""jobs"": 12}",,
deepmind,deepmind-careers,https://deepmind.google/about/careers/,greenhouse,"{""token"": ""deepmind""}",,
exa-ai,exa-ai-careers,https://jobs.ashbyhq.com/exa,ashby,,,
google,google-careers,https://www.google.com/about/careers/applications/jobs/results/,sitemap,"{""sitemap_url"": ""https://www.google.com/about/careers/applications/jobs/sitemap.xml"", ""urls"": 3984}",embedded,"{""pattern"": ""AF_initDataCallback\\(\\{key:\\s*'ds:0'.*?data:"", ""path"": ""[0]"", ""fields"": {""title"": ""[1]"", ""description"": ""[10][1]"", ""locations"": ""[9][*][0]"", ""qualifications"": ""[4][1]"", ""responsibilities"": ""[3][1]""}}"
kpmg,kpmg-at,https://bewerbung.kpmg.at,rss,"{""preset"": ""successfactors"", ""feed_url"": ""https://bewerbung.kpmg.at/googlefeed.xml""}",,
kpmg,kpmg-au,https://careers.smartrecruiters.com/KPMGAustralia1,smartrecruiters,"{""token"": ""KPMGAustralia1""}",,
kpmg,kpmg-ca,https://careers.kpmg.ca/professionals/jobs,api_sniffer,"{""api_url"": ""https://careers.kpmg.ca/api/jobs?sortBy=relevance&descending=false&internal=false"", ""method"": ""GET"", ""json_path"": ""jobs"", ""total_path"": ""totalCount"", ""url_field"": ""data.slug"", ""url_template"": ""https://careers.kpmg.ca/professionals/jobs/{slug}"", ""pagination"": {""param_name"": ""page"", ""style"": ""page"", ""start_value"": 1, ""increment"": 1, ""location"": ""query""}, ""fields"": {""title"": ""data.title"", ""description"": ""data.description"", ""locations"": ""data.full_location"", ""employment_type"": ""data.employment_type"", ""date_posted"": ""data.posted_date"", ""qualifications"": ""data.qualifications"", ""responsibilities"": ""data.responsibilities""}}",,
kpmg,kpmg-careers,https://jobs.kpmg.ch/?lang=en,api_sniffer,"{""api_url"": ""https://ohws.prospective.ch/public/v1/medium/1693/jobs?lang=en&offset=0&limit=50"", ""method"": ""GET"", ""json_path"": ""jobs"", ""total_path"": ""total"", ""url_field"": ""links.directlink"", ""pagination"": {""param_name"": ""offset"", ""style"": ""offset"", ""start_value"": 0, ""increment"": 50, ""location"": ""query""}, ""fields"": {""title"": ""title"", ""locations"": ""attributes.\""30\"""", ""employment_type"": ""attributes.\""50\"""", ""description"": ""szas.sza_tasks"", ""qualifications"": ""szas.sza_requirements""}}",,
kpmg,kpmg-de,https://jobs.kpmg.de,rss,"{""preset"": ""successfactors"", ""feed_url"": ""https://jobs.kpmg.de/googlefeed.xml""}",,
kpmg,kpmg-es,https://carreras.kpmg.es/,rss,"{""preset"": ""successfactors"", ""feed_url"": ""https://carreras.kpmg.es/googlefeed.xml""}",,
kpmg,kpmg-fr,https://emplois.kpmg.fr/recherche-d'offres,dom,"{""render"": false, ""url_filter"": ""/emploi/"", ""pagination"": {""param_name"": ""p"", ""max_pages"": 50}}",json-ld,
kpmg,kpmg-it,https://careers.kpmg.it/,rss,"{""preset"": ""successfactors"", ""feed_url"": ""https://careers.kpmg.it/googlefeed.xml""}",,
kpmg,kpmg-lu,https://careers.kpmg.lu,rss,"{""preset"": ""successfactors"", ""feed_url"": ""https://careers.kpmg.lu/googlefeed.xml""}",,
kpmg,kpmg-me,https://slccareers.kpmg.com,rss,"{""preset"": ""successfactors"", ""feed_url"": ""https://slccareers.kpmg.com/googlefeed.xml""}",,
kpmg,kpmg-nz,https://jobs.lever.co/kpmgnz,lever,"{""token"": ""kpmgnz""}",,
kpmg,kpmg-sg,https://careers.kpmg.com.sg,rss,"{""preset"": ""successfactors"", ""feed_url"": ""https://careers.kpmg.com.sg/googlefeed.xml""}",,
kpmg,kpmg-uk,https://www.kpmgcareers.co.uk/search/vacancies/,dom,"{""render"": false, ""url_filter"": ""/Vacancies/"", ""pagination"": {""param_name"": ""page"", ""max_pages"": 50}}",dom,"{""steps"": [{""tag"": ""h1"", ""field"": ""title""}, {""attr"": ""class=header-location"", ""field"": ""locations"", ""regex"": ""Location:\\s*(.+)""}, {""text"": ""Type:"", ""field"": ""employment_type"", ""regex"": ""Type:\\s*(.+)"", ""optional"": true, ""from"": 0}, {""text"": ""Job description"", ""from"": 0, ""offset"": 1, ""field"": ""description"", ""html"": true, ""stop"": ""Apply for role""}]}"
kpmg,kpmg-us,https://www.kpmguscareers.com/job-search/,api_sniffer,"{""api_url"": ""https://www.kpmguscareers.com/wp-content/themes/understrap-child-main/page-templates/google/get-jobs.php"", ""method"": ""GET"", ""params"": {""ajax"": ""1"", ""order"": ""posted""}, ""json_path"": ""postings.jobs"", ""total_path"": ""postings.size"", ""url_regex"": ""href=\""(/jobdetail/\\?jobId=\\d+)\"""", ""pagination"": {""param_name"": ""spage"", ""style"": ""page"", ""start_value"": 1, ""increment"": 1, ""location"": ""query""}}",json-ld,
meta,meta-careers,https://www.metacareers.com/jobs,sitemap,,json-ld,
nexthink,nexthink-careers,https://nexthink.com/company/careers/jobs,smartrecruiters,"{""token"": ""nexthink""}",,
revolut,revolut-careers,https://www.revolut.com/careers/,nextdata,"{""path"": ""props.pageProps.positions"", ""url_template"": ""https://www.revolut.com/careers/apply/{id}"", ""render"": true}",nextdata,"{""path"": ""props.pageProps.position"", ""render"": true, ""fields"": {""title"": ""text"", ""description"": ""description"", ""locations"": ""locations[].name"", ""job_location_type"": ""locations[].type"", ""metadata.team"": ""team""}}"
stripe,stripe-careers,https://stripe.com/jobs/search,greenhouse,,,
twitch,twitch-careers,https://job-boards.greenhouse.io/twitch,greenhouse,"{""token"": ""twitch""}",,
white-circle,white-circle-careers,https://jobs.ashbyhq.com/whitecircle,ashby,"{""token"": ""whitecircle""}",,
