id,name,keywords
1,Technology,"software,internet,information technology,SaaS,cloud computing,AI,machine learning,IT,computer,artificial intelligence,information and communications technology"
2,Financial Services,"banking,insurance,fintech,payments,investment,capital markets,finance,financial"
3,Healthcare,"health,medical,hospital,clinical,health care,wellness"
4,Manufacturing,"manufacturing,industrial,factory,production"
5,Retail & E-commerce,"retail,e-commerce,ecommerce,shopping,marketplace,consumer goods,clothing industry,apparel"
6,Media & Entertainment,"media,entertainment,publishing,gaming,streaming,film,music,video game"
7,Telecommunications,"telecom,telecommunications,wireless,mobile network"
8,Energy,"energy,oil,gas,renewable,solar,wind,utilities,power,electricity"
9,Transportation & Logistics,"transportation,logistics,shipping,freight,supply chain,delivery"
10,Education,"education,edtech,learning,university,training,e-learning"
11,Real Estate & Construction,"real estate,construction,property,building,architecture"
12,Professional Services,"consulting,legal,accounting,advisory,staffing,recruitment,management consulting,professional services"
13,Government & Public Sector,"government,public sector,defense,military,civic"
14,Agriculture & Food,"agriculture,food,farming,beverage,agritech"
15,Aerospace & Defense,"aerospace,defense,aviation,space,satellite"
16,Automotive,"automotive,vehicles,cars,mobility,EV,electric vehicle"
17,Hospitality & Tourism,"hospitality,hotel,tourism,travel,restaurant"
18,Pharmaceuticals & Biotech,"pharmaceutical,biotech,drug,life sciences,genomics,biotechnology"
19,Non-profit,"non-profit,nonprofit,NGO,charity,foundation"
20,Robotics,"robotics,automation,drones,autonomous"
21,Cybersecurity,"cybersecurity,security,infosec,information security"
22,Luxury Goods,"luxury,watches,jewelry,fashion,haute couture,watchmaking,horology"
